14 198948 HVA,0,Mechanical(MS),Hospital,Building Permit Related(MS),30,THE QUEENSWAY, , ,M6R,10757635,S1404,14-07-30,14-08-08,,Permit Issued,"HVAC - To complete interior alterations to the Pediatrics ward of the ""St. Joseph's"" Hospital.",Hospital,Hospital,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0
14 198948 PLB,0,Plumbing(PS),Hospital,Building Permit Related(PS),30,THE QUEENSWAY, , ,M6R,10757635,S1404,14-07-30,14-08-08,,Permit Issued,"Plumbing  - To complete interior alterations to the Pediatrics ward of the ""St. Joseph's"" Hospital.",Hospital,Hospital,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0
14 198950 BLD,1,Building Additions/Alterations,Office,Interior Alterations,342,QUEEN,ST,E,M5A,8754578,S2804,14-10-20,14-10-31,,Revision Issued,REV-01 to add a new light scoop at the rear of the first floor,Mixed Use,Office,0,0,0,0,0,0,0,0,0,0,0
14 198950 BLD,0,Building Additions/Alterations,Office,Interior Alterations,342,QUEEN,ST,E,M5A,8754578,S2804,14-07-30,14-09-22,,Inspection,Proposal to alter the existing three-storey mixed use building by converting the building into office space.,Mixed Use,Office,0,0,800000,0,0,0,0,0,0,327,0
14 198950 BLD,2,Building Additions/Alterations,Office,Multiple Projects,342,QUEEN,ST,E,M5A,8754578,S2804,14-12-18,15-01-29,,Revision Issued,REV-02: third floor rear addition with elevator shaft and revision to sprinklers and fire alarm.,Mixed Use,Office,0,0,0,0,0,0,31.5,0,0,0,0
14 198950 HVA,1,Mechanical(MS),Office,Building Permit Related(MS),342,QUEEN,ST,E,M5A,8754578,S2804,14-12-18,14-12-30,,Revision Issued,"HVAC revision 01: Revision related to addition on third floor.
( Proposal to alter the existing three-storey mixed use building by converting the building into office space.)",Mixed Use,Office,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0
14 198950 HVA,0,Mechanical(MS),Office,Building Permit Related(MS),342,QUEEN,ST,E,M5A,8754578,S2804,14-07-30,14-09-22,,Permit Issued,HVAC - Proposal to alter the existing three-storey mixed use building by converting the building into office space.,Mixed Use,Office,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0
14 198950 PLB,0,Plumbing(PS),Office,Building Permit Related(PS),342,QUEEN,ST,E,M5A,8754578,S2804,14-10-06,14-10-31,,Inspection,Plumbing  - Proposal to alter the existing three-storey mixed use building by converting the building into office space.,Mixed Use,Office,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0
14 198964 BLD,0,Small Residential Projects,SFD - Detached,Deck,20,TWENTY FOURTH,ST, ,M8V,1040248,W0605,14-07-30,14-08-28,,Permit Issued,To construct a covered rear deck to SFD,Sfd,Sfd,,,2000,0,0,0,0,0,0,0,0
14 199012 BLD,0,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,2999,JANE,ST, ,M3N,10093088,N0805,14-07-30,14-08-13,,Permit Issued,Localized concrete repairs at underground parking garage including garage roof re-waterproofing,Apartment Building,Apartment Building,,,1000000,0,0,0,0,0,0,0,0
